Zone,Year,Population Density (per sq km),Housing Units,Avg Household Size,Green Area (%),Total Road Length (km),Highway Ratio,Arterial Ratio,Local Road Ratio,Current Congestion Level (%),Housing Growth Rate (%)
Zone G,2018,11687,51873,4.6,24.34,245.2,0.07,0.27,0.58,39.5,1.81
Zone O,2013,12018,19903,5.4,13.36,459.5,0.16,0.46,0.66,74.9,4.17
Zone K2,2025,19302,13020,3.9,24.68,219.8,0.23,0.27,0.62,91.4,6.52
Zone H,2020,9970,51755,4.9,18.36,483.8,0.2,0.28,0.57,74.4,4.86
Zone G,2015,16389,55648,3.9,17.69,90.2,0.22,0.2,0.57,51.6,4.51
Zone K2,2024,25586,19516,4.6,8.32,359.2,0.07,0.46,0.68,62.5,2.87
Zone K2,2010,29951,12396,3.7,22.64,272.2,0.29,0.44,0.42,72.0,3.39
Zone D,2018,23374,29129,4.4,13.55,224.4,0.26,0.39,0.3,63.2,6.19
Zone H,2010,13788,11591,5.0,8.24,334.7,0.25,0.43,0.41,37.8,4.58
Zone C,2014,13408,21303,4.2,5.25,366.7,0.26,0.25,0.39,50.3,4.33
Zone B,2013,17446,40561,4.8,16.2,52.0,0.28,0.34,0.56,82.2,2.05
Zone L,2022,8922,17314,5.1,15.55,125.1,0.19,0.31,0.55,86.0,1.59
Zone F,2021,8419,29623,5.4,19.39,370.9,0.1,0.23,0.54,38.9,6.8
Zone B,2025,26588,77675,4.0,22.81,349.9,0.2,0.35,0.31,91.9,3.57
Zone A,2022,18789,75082,4.3,6.59,484.7,0.24,0.48,0.59,51.4,4.82
Zone L,2022,9120,43130,3.8,19.63,392.5,0.23,0.21,0.43,73.1,1.94
Zone L,2023,19260,61756,5.5,8.75,477.8,0.18,0.29,0.57,78.9,5.26
Zone P2,2012,25334,36292,5.4,22.16,366.1,0.07,0.26,0.52,82.8,6.63
Zone K1,2022,10336,79274,4.6,21.38,184.1,0.14,0.27,0.44,91.5,4.67

